property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ansal api celebrity suites,sector 2,0.6,8163.0,735.0,Super Built up area 735(68.28 sq.m.),1.0,1.0,1,5.0,North-East,Moderately Old,735.0,,,0.0,0.0,0.0,0.0,0.0,1.0,88.0,735.0
house,independent,sector 41,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),8.0,5.0,3+,3.0,,Old Property,,3240.0,,0.0,1.0,1.0,1.0,0.0,1.0,26.0,405.0
house,independent,sector 41,7.0,28283.0,2475.0,Plot area 275(229.94 sq.m.),7.0,7.0,3+,3.0,South-West,Moderately Old,,2475.0,,1.0,1.0,1.0,1.0,0.0,2.0,151.0,353.57142857142856
flat,chanderlok society,sector 28,0.9,7235.0,1244.0,Carpet area: 1244 (115.57 sq.m.),4.0,2.0,3+,1.0,,Old Property,,,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0
house,independent,sector 4,0.4,8889.0,450.0,Plot area 50(41.81 sq.m.),1.0,1.0,0,1.0,,Moderately Old,,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
house,international city by sobha phase 2,sector 109,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4.0,4.0,3+,2.0,North-East,New Property,,5400.0,,0.0,1.0,0.0,0.0,1.0,1.0,44.0,1350.0
flat,emaar digihomes,sector 62,2.15,14257.0,1508.0,Carpet area: 1508 (140.1 sq.m.),2.0,2.0,3,31.0,,Under Construction,,,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,754.0
house,uppal southend,sector 49,4.4,15278.0,2880.0,Plot area 320(267.56 sq.m.),6.0,6.0,3,3.0,North,Moderately Old,,2880.0,,1.0,1.0,1.0,1.0,0.0,2.0,110.0,480.0
flat,vipul lavanya,sector 81,0.64,5263.0,1216.0,Carpet area: 1225 (113.81 sq.m.),2.0,2.0,3,12.0,East,Relatively New,,,1225.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,608.0
flat,m3m heights,sector 65,2.86,13999.0,2043.0,Carpet area: 2040 (189.52 sq.m.),3.0,3.0,3,45.0,East,Under Construction,,,2040.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,681.0
flat,emaar mgf the palm drive,sector 66,3.5,15909.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2125 sq.ft. (197.42 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,3.0,3,7.0,North-East,Moderately Old,2200.0,2125.0,2000.0,0.0,1.0,1.0,0.0,0.0,1.0,149.0,733.3333333333334
house,greenopolis,sector 89,0.7,5397.0,1297.0,Built Up area: 1297 (120.5 sq.m.),2.0,2.0,2,14.0,North-East,Undefined,,1297.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.5
flat,dlf the skycourt,sector 86,1.54,9222.0,1670.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3.0,3.0,3+,15.0,North-West,Relatively New,1929.0,1780.0,1670.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,556.6666666666666
house,vipul tatvam villa,sector 48,8.25,38194.0,2160.0,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4.0,4.0,3+,3.0,North-East,Relatively New,,300.0,240.0,0.0,1.0,1.0,0.0,0.0,1.0,160.0,540.0
house,international city by sobha phase 1,sector 109,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5.0,6.0,3+,2.0,,Moderately Old,,2430.0,,0.0,1.0,0.0,0.0,0.0,0.0,30.0,486.0
flat,the arzoo cghs,sector 51,2.1,9130.0,2300.0,Built Up area: 2300 (213.68 sq.m.),4.0,4.0,3,1.0,,Relatively New,,2300.0,,0.0,0.0,0.0,0.0,0.0,0.0,58.0,575.0
flat,corona optus,sector 37,1.25,7176.0,1742.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3,2.0,North-West,Relatively New,1735.0,,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,580.6666666666666
flat,lotus homz,sector 111,0.7,10057.0,696.0,Carpet area: 696 (64.66 sq.m.),2.0,2.0,2,8.0,East,Relatively New,,,696.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,348.0
flat,m3m merlin,sector 67,2.8,13679.0,2047.0,Super Built up area 2047(190.17 sq.m.)Carpet area: 1880 sq.ft. (174.66 sq.m.),3.0,3.0,3,5.0,North-East,Moderately Old,2047.0,,1880.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,682.3333333333334
house,housing board colony,sector 28,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4.0,3.0,3,2.0,North,Old Property,,1800.0,,0.0,0.0,0.0,1.0,1.0,1.0,22.0,450.0
flat,puri diplomatic greens,sector 111,2.58,11727.0,2200.0,Super Built up area 2200(204.39 sq.m.),3.0,4.0,2,10.0,North,Moderately Old,2200.0,,,0.0,1.0,0.0,0.0,0.0,0.0,86.0,733.3333333333334
flat,la vida by tata housing,sector 113,3.0,14286.0,2100.0,Super Built up area 2691(250 sq.m.)Built Up area: 2460 sq.ft. (228.54 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3.0,3.0,3+,3.0,East,Relatively New,2691.0,2460.0,2100.0,0.0,1.0,0.0,0.0,0.0,0.0,167.0,700.0
house,ganpati heights apartment,sector 13,1.25,12077.0,1035.0,Plot area 115(7692.86 sq.m.),3.0,6.0,2,3.0,South-East,Old Property,,115.0,,0.0,0.0,0.0,0.0,1.0,0.0,7.0,345.0
flat,smart world orchard,sector 61,2.1,13752.0,1527.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,2.0,3,3.0,South,Under Construction,1549.0,,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,509.0
flat,tata gurgaon gateway,sector 113,2.45,10788.0,2271.0,Super Built up area 2225(206.71 sq.m.),3.0,3.0,3,8.0,North,Relatively New,2225.0,,,0.0,0.0,0.0,0.0,0.0,0.0,110.0,757.0
flat,tulip violet,sector 69,1.38,8973.0,1538.0,Carpet area: 1538 (142.88 sq.m.),3.0,3.0,1,12.0,West,Relatively New,,,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,512.6666666666666
flat,smart world gems,sector 89,1.71,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3.0,2.0,0,3.0,,Undefined,,1423.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,475.0
flat,ireo the corridors,sector 67a,1.85,9531.0,1941.0,Built Up area: 1941 (180.32 sq.m.),3.0,4.0,3,4.0,East,New Property,,1941.0,,1.0,0.0,1.0,0.0,0.0,1.0,150.0,647.0
flat,signature global the millennia,sector 37d,0.6,9231.0,650.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596.12 sq.ft. (55.38 sq.m.),2.0,2.0,3,7.0,,New Property,650.0,,596.12,0.0,0.0,0.0,0.0,0.0,0.0,35.0,325.0
flat,vatika the seven lamps,sector 82,0.81,6193.0,1308.0,Super Built up area 1300(120.77 sq.m.),2.0,2.0,2,15.0,West,Relatively New,1300.0,,,0.0,0.0,0.0,0.0,0.0,1.0,117.0,654.0
flat,tulip monsella,sector 53,5.6,19364.0,2892.0,Super Built up area 2892(268.68 sq.m.),3.0,3.0,3+,1.0,,Under Construction,2892.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,964.0
flat,m3m skywalk,sector 74,1.5,12500.0,1200.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,17.0,North-East,Relatively New,1400.0,1300.0,1200.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,600.0
flat,bptp terra,sector 37d,1.45,8007.0,1811.0,Super Built up area 1811(168.25 sq.m.),3.0,3.0,3,9.0,North-East,Relatively New,1811.0,,,0.0,0.0,0.0,0.0,0.0,0.0,107.0,603.6666666666666
flat,experion the heartsong,sector 108,1.65,8238.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3.0,4.0,3,3.0,North-West,Moderately Old,2003.0,1771.32,1302.01,1.0,0.0,0.0,0.0,0.0,1.0,75.0,667.6666666666666
flat,huda housing board society,sector 52,0.45,9740.0,462.0,Carpet area: 461.77 (42.9 sq.m.),1.0,1.0,0,0.0,North-West,Moderately Old,,,461.77131,0.0,0.0,0.0,1.0,0.0,1.0,43.0,462.0
flat,shri balaji apartment,sector 12,0.35,4037.0,867.0,Super Built up area 867(80.55 sq.m.)Built Up area: 737 sq.ft. (68.47 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,1,1.0,North,Moderately Old,867.0,737.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,433.5
house,independent,sector 43,5.75,23663.0,2430.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4.0,4.0,2,4.0,North,Under Construction,,260.0,220.0,0.0,1.0,1.0,0.0,0.0,2.0,153.0,607.5
flat,ss the leaf,sector 85,1.12,6452.0,1736.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1485 sq.ft. (137.96 sq.m.)Carpet area: 1335 sq.ft. (124.03 sq.m.),2.0,2.0,3,10.0,East,Relatively New,1741.0,1485.0,1335.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,868.0
flat,avl 36 gurgaon,sector 36,0.75,7500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),2.0,2.0,2,5.0,North-East,Relatively New,1000.0,,727.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,500.0
flat,adani aangan galleria,sector 89,0.25,5000.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 430 sq.ft. (39.95 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1.0,1.0,1,6.0,,New Property,500.0,430.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,500.0
house,independent,sector 4,0.67,8557.0,783.0,Plot area 87(72.74 sq.m.),3.0,2.0,1,1.0,South,Moderately Old,,783.0,,0.0,0.0,0.0,1.0,1.0,0.0,19.0,261.0
flat,bestech park view residency,sector 2,0.56,8629.0,649.0,Carpet area: 651 (60.48 sq.m.),1.0,1.0,2,6.0,South,Moderately Old,,,651.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,649.0
flat,aipl zen residences,sector 70a,1.75,10258.0,1706.0,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,4.0,3+,20.0,North-East,Relatively New,,1706.0,1050.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,568.6666666666666
house,independent,sector 14,4.15,18444.0,2250.0,Plot area 250(209.03 sq.m.),5.0,4.0,2,2.0,North-West,Old Property,,2250.0,,0.0,0.0,0.0,0.0,0.0,1.0,51.0,450.0
flat,m3m merlin,sector 67,3.4,14419.0,2358.0,Super Built up area 2358(219.07 sq.m.),3.0,4.0,3,17.0,North,Relatively New,2358.0,,,0.0,1.0,0.0,0.0,0.0,1.0,174.0,786.0
flat,dlf the ultima,sector 81,2.3,10937.0,2103.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1617 sq.ft. (150.22 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3.0,3.0,3+,19.0,East,Relatively New,2103.0,1617.0,1257.0,1.0,1.0,0.0,1.0,1.0,2.0,49.0,701.0
house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),2.0,9.0,3,4.0,East,Relatively New,,1935.0,,1.0,0.0,1.0,1.0,0.0,1.0,84.0,980.5
flat,rof ananda,sector 95,0.32,5735.0,558.0,Carpet area: 549.16 (51.02 sq.m.),2.0,2.0,1,10.0,North,Relatively New,,,549.174178,0.0,0.0,0.0,1.0,0.0,1.0,50.0,279.0
flat,rof aalayas,sector 102,0.45,6000.0,750.0,Built Up area: 750 (69.68 sq.m.),1.0,1.0,2,6.0,,Undefined,,750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0
house,independent,sector 56,2.99,20635.0,1449.0,Plot area 161(134.62 sq.m.),4.0,4.0,2,2.0,South,Moderately Old,,1449.0,,1.0,1.0,0.0,1.0,0.0,1.0,49.0,362.25
flat,ats tourmaline,sector 109,1.5,6977.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3.0,4.0,3+,4.0,North-West,Relatively New,2150.0,1797.0,1670.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,716.6666666666666
house,dlf south city 1,sector 41,2.65,18929.0,1400.0,Plot area 2160(200.67 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,3,4.0,North-East,New Property,,1800.0,1400.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,466.6666666666667
house,bhim garh kheri,sector 3,1.5,7576.0,1980.0,Plot area 220(183.95 sq.m.),7.0,2.0,0,1.0,,Undefined,,1980.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.85714285714283
flat,dlf the skycourt,sector 86,1.5,7895.0,1900.0,Super Built up area 1900(176.52 sq.m.),3.0,3.0,1,16.0,East,Relatively New,1900.0,,,0.0,0.0,0.0,0.0,1.0,0.0,49.0,633.3333333333334
flat,central park resorts,sector 48,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4.0,4.0,3+,10.0,North-East,Moderately Old,3931.0,3831.0,3731.0,1.0,1.0,1.0,1.0,0.0,1.0,67.0,932.75
flat,ss the leaf,sector 83,1.19,7225.0,1647.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2.0,2.0,3,4.0,South-East,Relatively New,1640.0,1630.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,823.5
flat,signature global solera,sector 107,0.5,4762.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2,5.0,South,Relatively New,1050.0,850.0,645.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,350.0
flat,hero homes,sector 104,1.4,15819.0,885.0,Super Built up area 1389(129.04 sq.m.)Carpet area: 884.58 sq.ft. (82.18 sq.m.),3.0,2.0,2,4.0,North,Under Construction,1389.0,,884.58,0.0,0.0,0.0,0.0,0.0,0.0,49.0,295.0
flat,godrej oasis,sector 88a,1.0,6897.0,1450.0,Carpet area: 1450 (134.71 sq.m.),2.0,2.0,3,7.0,,Relatively New,,,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,725.0
flat,eldeco accolade,sohna road,1.3,7424.0,1751.0,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3.0,3.0,3+,10.0,East,Relatively New,1751.0,,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,583.6666666666666
flat,orris carnation residency,sector 85,0.9,6429.0,1400.0,Super Built up area 1485(137.96 sq.m.)Built Up area: 1402 sq.ft. (130.25 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3.0,3.0,2,12.0,,Relatively New,1485.0,1402.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,466.6666666666667
house,independent,sector 105,0.5,5556.0,900.0,Built Up area: 100 (9.29 sq.m.),2.0,2.0,0,1.0,,Undefined,,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
flat,vatika gurgaon,sector 83,1.15,5808.0,1980.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1308 sq.ft. (121.52 sq.m.),3.0,3.0,2,3.0,South,Relatively New,1980.0,1350.0,1308.0,1.0,1.0,1.0,1.0,0.0,1.0,165.0,660.0
flat,tulip violet,sector 69,1.36,8619.0,1578.0,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,12.0,West,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,1.0,49.0,526.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,1200.0,Super Built up area 1368(127.09 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,0.0,North,Relatively New,1368.0,,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,600.0
house,independent,sector 55,2.8,18667.0,1500.0,Built Up area: 1500 (139.35 sq.m.),4.0,4.0,0,2.0,,Undefined,,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
house,unitech espace,sector 50,10.45,32253.0,3240.0,Plot area 360(301.01 sq.m.),5.0,7.0,3+,3.0,,Moderately Old,,3240.0,,1.0,1.0,0.0,1.0,1.0,1.0,153.0,648.0
flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2.0,2.0,1,1.0,East,Relatively New,,,483.0,0.0,0.0,1.0,0.0,0.0,1.0,84.0,241.5
flat,pivotal devaan apartments,sector 84,0.39,6500.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2.0,0,5.0,North,Undefined,600.0,,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
house,independent,sector 4,1.1,11111.0,990.0,Built Up area: 990 (91.97 sq.m.),3.0,4.0,1,2.0,North,Undefined,,990.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0
flat,gls arawali homes,sohna road,0.35,6076.0,576.0,Super Built up area 576(53.51 sq.m.),2.0,2.0,2,12.0,,New Property,576.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,288.0
flat,tarc maceo,sector 91,1.75,11118.0,1574.0,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),4.0,3.0,3+,8.0,South,Relatively New,2724.0,,1573.59,1.0,1.0,1.0,1.0,0.0,0.0,128.0,393.5
flat,vatika city,sector 49,2.1,10417.0,2016.0,Super Built up area 2015.58(187.25 sq.m.)Built Up area: 1604.25 sq.ft. (149.04 sq.m.),3.0,3.0,3,9.0,South,Moderately Old,2015.58,1604.25,,0.0,0.0,0.0,1.0,0.0,1.0,132.0,672.0
flat,central park resorts,sector 48,3.65,15240.0,2395.0,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3.0,3.0,3+,9.0,North-West,Relatively New,1870.0,1869.0,,0.0,0.0,0.0,0.0,1.0,1.0,157.0,798.3333333333334
flat,ashiana mulberry,sohna road,0.95,6485.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2.0,2.0,3+,3.0,,New Property,1465.0,1175.97,834.96,1.0,0.0,0.0,0.0,0.0,0.0,89.0,732.5
flat,tulip violet,sector 69,1.29,8227.0,1568.0,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1,12.0,North-East,Relatively New,1568.0,,,0.0,0.0,0.0,1.0,0.0,1.0,86.0,522.6666666666666
house,suncity avenue 76,sector 76,0.75,10067.0,745.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2.0,2.0,2,11.0,North-East,New Property,,745.0,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,372.5
flat,dlf the primus,sector 82a,1.85,10283.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3.0,3.0,3+,2.0,South,Relatively New,1799.0,,1538.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,599.6666666666666
flat,umang monsoon breeze,sector 78,0.7,5719.0,1224.0,Built Up area: 1224 (113.71 sq.m.),2.0,2.0,2,5.0,,Undefined,,1224.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0
flat,rof ananda,sector 95,0.32,5829.0,549.0,Carpet area: 549.16 (51.02 sq.m.),2.0,2.0,1,9.0,North,Relatively New,,,549.174178,0.0,0.0,0.0,1.0,0.0,1.0,71.0,274.5
flat,the crew bos chs manesar,manesar,0.85,3696.0,2300.0,Carpet area: 2300 (213.68 sq.m.),3.0,3.0,2,2.0,East,Moderately Old,,,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,766.6666666666666
flat,spaze privvy the address,sector 93,1.25,5700.0,2193.0,Built Up area: 2105 (195.56 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4.0,4.0,3,16.0,,Relatively New,,2105.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.25
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,917.0,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,3.0,East,Relatively New,,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,458.5
flat,chd avenue,sector 71,0.79,6594.0,1198.0,Super Built up area 1198(111.3 sq.m.),2.0,2.0,2,8.0,South-East,Relatively New,1198.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,599.0
