property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 84,0.39,2.0,2.0,0,Relatively New,549.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 4,1.1,3.0,4.0,1,Moderately Old,990.0,0.0,0.0,0.0,Low,Low Floor
flat,sohna road,0.35,2.0,2.0,2,New Property,521.0,0.0,0.0,0.0,Low,High Floor
flat,sector 91,1.75,4.0,3.0,3+,Relatively New,2107.0,1.0,1.0,0.0,Medium,Mid Floor
flat,sector 49,2.1,3.0,3.0,3,Moderately Old,1604.25,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 48,3.65,3.0,3.0,3+,Relatively New,2395.0,0.0,0.0,1.0,High,Mid Floor
flat,sohna road,0.95,2.0,2.0,3+,New Property,1175.97,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.29,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,1.0,Medium,High Floor
house,sector 76,0.75,2.0,2.0,2,New Property,745.0,0.0,0.0,0.0,Low,High Floor
flat,sector 82a,1.85,3.0,3.0,3+,Relatively New,1668.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 78,0.7,2.0,2.0,2,Moderately Old,1224.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 95,0.32,2.0,2.0,1,Relatively New,610.0,0.0,0.0,1.0,Medium,Mid Floor
flat,manesar,0.85,3.0,3.0,2,Moderately Old,2556.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 93,1.25,4.0,4.0,3,Relatively New,2105.0,0.0,0.0,0.0,Low,High Floor
flat,sector 7,0.54,2.0,2.0,1,Relatively New,1000.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 71,0.79,2.0,2.0,2,Relatively New,1084.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 25,10.0,5.0,5.0,3+,Moderately Old,9500.0,1.0,0.0,2.0,Low,Mid Floor
flat,sector 56,1.71,3.0,3.0,3+,Moderately Old,2251.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 110,1.4,3.0,3.0,3,Relatively New,1550.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 67,3.65,3.0,4.0,3+,Relatively New,2490.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 107,0.6,3.0,2.0,2,Relatively New,750.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.44,3.0,3.0,2,Relatively New,1381.0,0.0,0.0,0.0,High,Low Floor
flat,sector 113,2.37,4.0,4.0,3+,Under Construction,2060.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 104,0.2,1.0,2.0,2,New Property,334.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 33,1.5,2.0,2.0,3+,Under Construction,1539.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 113,1.83,2.0,2.0,0,New Property,1310.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 4,3.2,3.0,3.0,2,Old Property,2250.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 88a,0.5,3.0,2.0,2,Under Construction,663.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 41,3.4,4.0,4.0,3,Old Property,2900.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 102,4.55,4.0,4.0,3+,Relatively New,4630.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 49,1.72,3.0,3.0,2,Old Property,2444.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 61,2.2,3.0,3.0,2,Under Construction,1778.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 82,0.63,2.0,2.0,3+,Relatively New,1026.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 37,1.4,3.0,3.0,3+,Relatively New,1890.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 70,1.13,3.0,3.0,2,Under Construction,1457.0,0.0,0.0,0.0,Low,Low Floor
house,sector 104,1.95,3.0,5.0,3+,Moderately Old,920.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 70,1.75,3.0,5.0,0,Relatively New,1950.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 103,2.45,4.0,4.0,3,Relatively New,2602.0,1.0,1.0,0.0,Low,High Floor
house,sector 82,4.7,3.0,3.0,3+,New Property,2160.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 28,0.7,2.0,2.0,0,Old Property,864.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 89,1.3,3.0,3.0,2,New Property,1179.0,0.0,0.0,0.0,Low,Low Floor
house,sector 109,6.5,4.0,4.0,3+,New Property,5400.0,1.0,0.0,1.0,High,Low Floor
flat,sector 37d,0.55,2.0,2.0,3,New Property,543.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.9,3.0,2.0,2,Under Construction,1014.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 107,1.15,2.0,2.0,3,Relatively New,1281.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 66,3.5,3.0,4.0,3,Relatively New,2150.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 90,1.78,4.0,4.0,3+,Relatively New,2000.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 43,2.5,3.0,2.0,3,Old Property,1674.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 38,3.9,6.0,6.0,3+,Moderately Old,1836.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 3,0.55,2.0,2.0,1,Moderately Old,810.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 37d,1.67,4.0,4.0,3,Relatively New,2091.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 90,0.65,2.0,2.0,3,Relatively New,1050.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 65,5.5,3.0,4.0,3,Relatively New,2803.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 90,2.05,4.0,4.0,3+,Relatively New,2005.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 51,2.25,6.0,3.0,3+,Relatively New,900.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 33,11.0,5.0,6.0,3,New Property,4125.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 102,1.41,2.0,2.0,3,Relatively New,1238.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 79,1.65,3.0,3.0,0,Relatively New,1815.0,0.0,0.0,0.0,Low,High Floor
flat,sector 83,0.98,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 14,2.2,3.0,4.0,3+,Old Property,1956.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1550.0,0.0,0.0,0.0,High,High Floor
house,sector 103,4.35,4.0,4.0,3+,Relatively New,3222.0,1.0,1.0,1.0,Medium,Low Floor
flat,sector 69,1.3,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 71,1.1,3.0,4.0,3,Moderately Old,1631.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 82a,1.59,3.0,3.0,3+,Relatively New,1668.0,0.0,0.0,2.0,High,Mid Floor
flat,sector 88a,1.65,3.0,3.0,3,New Property,1652.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 81,2.28,3.0,3.0,3+,Relatively New,1750.0,1.0,0.0,2.0,Low,High Floor
flat,sector 90,1.6,4.0,4.0,3+,Relatively New,2139.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 90,1.21,3.0,3.0,3+,Relatively New,1581.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 90,1.25,3.0,3.0,3,Moderately Old,1437.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 2,0.98,2.0,2.0,3,Moderately Old,1281.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 108,0.93,2.0,3.0,3,Relatively New,1161.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 61,2.24,3.0,3.0,2,New Property,1402.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 56,1.55,3.0,3.0,3,Old Property,1810.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 79,0.78,2.0,2.0,3+,Relatively New,1172.0,0.0,0.0,0.0,Low,High Floor
flat,sector 113,1.93,3.0,3.0,2,Under Construction,1429.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 104,2.6,4.0,4.0,3+,Relatively New,3064.0,1.0,0.0,1.0,High,High Floor
house,sector 112,7.46,4.0,4.0,3+,Relatively New,6350.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 22,4.8,4.0,6.0,3+,New Property,2778.0,1.0,0.0,2.0,Low,Mid Floor
flat,sector 108,0.97,2.0,2.0,3,Relatively New,1167.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 102,0.97,2.0,2.0,2,Relatively New,828.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 92,1.7,3.0,4.0,2,Under Construction,1475.0,0.0,0.0,0.0,Medium,Low Floor
house,sector 26,6.75,3.0,3.0,3,Moderately Old,2430.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 90,1.2,3.0,3.0,3+,Moderately Old,2144.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 70,1.65,3.0,5.0,3,Relatively New,1527.0,1.0,0.0,0.0,High,Mid Floor
house,sector 13,1.5,2.0,7.0,3,Moderately Old,1300.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 84,0.69,2.0,2.0,3+,Relatively New,1222.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 85,1.2,2.0,2.0,3,Relatively New,1660.0,0.0,0.0,0.0,Low,High Floor
flat,sector 92,0.75,3.0,4.0,3,Moderately Old,1778.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 49,1.69,3.0,3.0,3,Moderately Old,2178.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 67,4.5,4.0,4.0,3+,Relatively New,3160.0,1.0,0.0,1.0,Low,Low Floor
house,sector 33,8.5,5.0,5.0,3+,New Property,4770.0,1.0,1.0,1.0,Medium,Mid Floor
flat,sector 107,0.4,2.0,2.0,1,Relatively New,577.0,0.0,0.0,1.0,Medium,Mid Floor
flat,manesar,0.9,4.0,4.0,3,Moderately Old,2233.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 52,5.0,5.0,7.0,3+,Moderately Old,5778.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 76,1.9,3.0,3.0,2,Under Construction,1513.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 84,1.24,3.0,3.0,3,Relatively New,1650.0,0.0,0.0,1.0,High,Mid Floor
flat,sector 33,1.4,3.0,3.0,3,Under Construction,588.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 95,0.46,2.0,2.0,2,New Property,809.0,0.0,0.0,0.0,Medium,High Floor
flat,gwal pahari,1.38,2.0,2.0,2,Under Construction,1130.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 102,1.82,3.0,4.0,3+,Moderately Old,1757.0,1.0,0.0,0.0,Medium,High Floor
flat,sohna road,0.4,2.0,2.0,3,New Property,661.0,0.0,0.0,0.0,Low,High Floor
flat,manesar,0.86,3.0,3.0,3+,Moderately Old,1900.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 70,1.65,3.0,3.0,2,Relatively New,2167.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 59,3.78,3.0,3.0,3,Under Construction,2550.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.42,3.0,3.0,3,Relatively New,1315.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 109,1.4,3.0,3.0,3+,Relatively New,1466.0,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 95,0.27,2.0,2.0,0,New Property,758.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 86,0.42,2.0,2.0,1,New Property,557.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 99,0.26,2.0,2.0,1,Relatively New,611.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 95,0.4,3.0,2.0,2,New Property,761.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 56,2.05,4.0,4.0,3,Relatively New,2000.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.87,4.0,4.0,2,Moderately Old,1584.0,0.0,1.0,2.0,Medium,Low Floor
flat,sector 86,1.65,3.0,4.0,3,Relatively New,1715.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 12,0.42,3.0,3.0,0,New Property,567.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 65,2.75,4.0,4.0,3,Relatively New,1975.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 9,0.88,3.0,3.0,2,Old Property,1438.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 91,1.4,3.0,3.0,3+,Relatively New,1700.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 65,5.9,3.0,3.0,3,Moderately Old,3043.0,0.0,0.0,2.0,Low,Mid Floor
flat,sector 81,0.82,2.0,2.0,3,Relatively New,955.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 81,3.3,4.0,5.0,3+,Relatively New,3070.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 92,0.5,3.0,3.0,1,New Property,711.0,0.0,0.0,2.0,Medium,High Floor
flat,sector 69,1.8,4.0,5.0,3+,Relatively New,2200.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 58,4.85,4.0,5.0,3,Relatively New,3182.0,1.0,0.0,1.0,Low,High Floor
flat,sector 77,1.79,3.0,3.0,3,New Property,1600.0,1.0,0.0,1.0,Low,Low Floor
flat,sector 99,1.13,3.0,5.0,3,Relatively New,1790.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 81,2.29,3.0,4.0,3+,Relatively New,1900.0,1.0,0.0,2.0,Medium,High Floor
flat,sohna road,0.26,1.0,1.0,1,New Property,438.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 95,0.29,2.0,2.0,2,Relatively New,507.0,0.0,0.0,0.0,Medium,High Floor
house,sector 1,1.85,4.0,3.0,2,Moderately Old,1284.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 2,0.95,2.0,2.0,3,Old Property,1573.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 109,1.5,3.0,3.0,1,New Property,2519.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 110,4.0,4.0,4.0,3,New Property,3350.0,0.0,0.0,0.0,Medium,High Floor
flat,sohna road,0.45,2.0,2.0,2,Relatively New,789.0,0.0,0.0,2.0,Low,Mid Floor
flat,sector 82a,0.62,1.0,1.0,0,Relatively New,650.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,1.15,3.0,3.0,3+,Relatively New,1747.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 83,1.4,3.0,3.0,2,Relatively New,1570.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 57,3.15,5.0,4.0,3+,Moderately Old,1548.0,0.0,1.0,1.0,Medium,Low Floor
flat,sector 71,0.98,3.0,3.0,3,Moderately Old,1466.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 102,1.75,3.0,3.0,3+,Relatively New,1465.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 65,5.0,3.0,3.0,3,Relatively New,3245.0,1.0,0.0,1.0,High,Low Floor
flat,sector 65,2.55,3.0,3.0,3,Relatively New,1650.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 33,1.65,3.0,3.0,3,Under Construction,2218.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 106,2.1,4.0,6.0,3+,Relatively New,2131.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 9,0.95,3.0,3.0,2,Moderately Old,1403.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 109,2.2,3.0,4.0,3,Relatively New,1860.0,1.0,0.0,0.0,High,High Floor
flat,sector 48,1.38,3.0,3.0,1,Relatively New,1611.0,0.0,0.0,0.0,Medium,Low Floor
house,sector 25,15.0,5.0,5.0,3,Moderately Old,6400.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 105,0.42,3.0,2.0,1,Moderately Old,833.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 61,2.55,3.0,3.0,2,New Property,1630.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 109,2.3,3.0,4.0,3+,New Property,2339.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 65,3.2,4.0,3.0,2,Relatively New,3150.0,1.0,0.0,0.0,Low,Low Floor
house,sector 49,3.75,2.0,6.0,3,Moderately Old,1467.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 113,2.75,4.0,4.0,3+,Under Construction,2886.0,1.0,0.0,2.0,Medium,High Floor
flat,sector 33,2.0,3.0,3.0,3+,New Property,1619.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 82a,1.85,3.0,3.0,3,Moderately Old,1677.0,0.0,0.0,0.0,Low,High Floor
flat,dwarka expressway,1.3,3.0,3.0,2,Under Construction,1267.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,1.23,3.0,3.0,2,Relatively New,1578.0,0.0,0.0,0.0,Low,High Floor
flat,sector 65,2.65,2.0,2.0,3,New Property,1433.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 9,1.65,2.0,3.0,0,Old Property,900.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 43,3.8,3.0,3.0,3+,Moderately Old,2450.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 65,2.85,4.0,4.0,3+,Relatively New,1975.0,1.0,0.0,1.0,High,Low Floor
flat,sector 63,7.8,4.0,4.0,0,New Property,3950.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 2,1.5,3.0,4.0,3+,Moderately Old,1738.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 76,1.75,4.0,4.0,0,New Property,3111.0,0.0,0.0,0.0,Low,High Floor
