property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,corona optus,sector 37,1.25,7176.0,3.0,3.0,3,2.0,Relatively New,1563.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,lotus homz,sector 111,0.7,10057.0,2.0,2.0,2,8.0,Relatively New,773.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
flat,m3m merlin,sector 67,2.8,13679.0,3.0,3.0,3,5.0,Moderately Old,2047.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0
house,housing board colony,sector 28,5.5,30556.0,4.0,3.0,3,2.0,Old Property,1800.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0
flat,puri diplomatic greens,sector 111,2.58,11727.0,3.0,4.0,2,10.0,Moderately Old,2200.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0
flat,la vida by tata housing,sector 113,3.0,14286.0,3.0,3.0,3+,3.0,Relatively New,2460.0,0.0,1.0,0.0,0.0,0.0,0.0,167.0
house,ganpati heights apartment,sector 13,1.25,12077.0,3.0,6.0,2,3.0,Old Property,115.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
flat,smart world orchard,sector 61,2.1,13752.0,3.0,2.0,3,3.0,Under Construction,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0
flat,tata gurgaon gateway,sector 113,2.45,10788.0,3.0,3.0,3,8.0,Relatively New,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
flat,tulip violet,sector 69,1.38,8973.0,3.0,3.0,1,12.0,Relatively New,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0
flat,smart world gems,sector 89,1.71,12000.0,3.0,2.0,0,3.0,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
flat,ireo the corridors,sector 67a,1.85,9531.0,3.0,4.0,3,4.0,New Property,1941.0,1.0,0.0,1.0,0.0,0.0,1.0,150.0
flat,signature global the millennia,sector 37d,0.6,9231.0,2.0,2.0,3,7.0,New Property,625.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
flat,vatika the seven lamps,sector 82,0.81,6193.0,2.0,2.0,2,15.0,Relatively New,1176.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0
flat,tulip monsella,sector 53,5.6,19364.0,3.0,3.0,3+,1.0,Under Construction,2617.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
flat,m3m skywalk,sector 74,1.5,12500.0,2.0,2.0,3,17.0,Relatively New,1300.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0
flat,bptp terra,sector 37d,1.45,8007.0,3.0,3.0,3,9.0,Relatively New,1639.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
flat,experion the heartsong,sector 108,1.65,8238.0,3.0,4.0,3,3.0,Moderately Old,1771.32,1.0,0.0,0.0,0.0,0.0,1.0,75.0
flat,huda housing board society,sector 52,0.45,9740.0,1.0,1.0,0,0.0,Moderately Old,513.0,0.0,0.0,0.0,1.0,0.0,1.0,43.0
flat,shri balaji apartment,sector 12,0.35,4037.0,2.0,2.0,1,1.0,Moderately Old,737.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
house,independent,sector 43,5.75,23663.0,4.0,4.0,2,4.0,Under Construction,2430.0,0.0,1.0,1.0,0.0,0.0,2.0,153.0
flat,ss the leaf,sector 85,1.12,6452.0,2.0,2.0,3,10.0,Relatively New,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
flat,avl 36 gurgaon,sector 36,0.75,7500.0,2.0,2.0,2,5.0,Relatively New,856.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
flat,adani aangan galleria,sector 89,0.25,5000.0,1.0,1.0,1,6.0,New Property,430.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
house,independent,sector 4,0.67,8557.0,3.0,2.0,1,1.0,Moderately Old,783.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0
flat,bestech park view residency,sector 2,0.56,8629.0,1.0,1.0,2,6.0,Moderately Old,723.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
flat,aipl zen residences,sector 70a,1.75,10258.0,3.0,4.0,3+,20.0,Relatively New,1706.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0
house,independent,sector 14,4.15,18444.0,5.0,4.0,2,2.0,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0
flat,m3m merlin,sector 67,3.4,14419.0,3.0,4.0,3,17.0,Relatively New,2134.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0
flat,dlf the ultima,sector 81,2.3,10937.0,3.0,3.0,3+,19.0,Relatively New,1617.0,1.0,1.0,0.0,1.0,1.0,2.0,49.0
house,independent,sector 25,7.6,38756.0,2.0,9.0,3,4.0,Relatively New,1961.0,1.0,0.0,1.0,1.0,0.0,1.0,84.0
flat,rof ananda,sector 95,0.32,5735.0,2.0,2.0,1,10.0,Relatively New,610.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0
flat,rof aalayas,sector 102,0.45,6000.0,1.0,1.0,2,6.0,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 56,2.99,20635.0,4.0,4.0,2,2.0,Moderately Old,1449.0,1.0,1.0,0.0,1.0,0.0,1.0,49.0
flat,ats tourmaline,sector 109,1.5,6977.0,3.0,4.0,3+,4.0,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0
house,dlf south city 1,sector 41,2.65,18929.0,3.0,3.0,3,4.0,New Property,1400.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0
house,bhim garh kheri,sector 3,1.5,7576.0,7.0,2.0,0,1.0,Moderately Old,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,dlf the skycourt,sector 86,1.5,7895.0,3.0,3.0,1,16.0,Relatively New,1719.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
flat,central park resorts,sector 48,9.3,24926.0,4.0,4.0,3+,10.0,Moderately Old,3831.0,1.0,1.0,1.0,1.0,0.0,1.0,67.0
flat,ss the leaf,sector 83,1.19,7225.0,2.0,2.0,3,4.0,Relatively New,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,signature global solera,sector 107,0.5,4762.0,3.0,2.0,2,5.0,Relatively New,850.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0
flat,hero homes,sector 104,1.4,15819.0,3.0,2.0,2,4.0,Under Construction,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,godrej oasis,sector 88a,1.0,6897.0,2.0,2.0,3,7.0,Relatively New,1611.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0
flat,eldeco accolade,sohna road,1.3,7424.0,3.0,3.0,3+,10.0,Relatively New,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,orris carnation residency,sector 85,0.9,6429.0,3.0,3.0,2,12.0,Relatively New,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
house,independent,sector 105,0.5,5556.0,2.0,2.0,0,1.0,Moderately Old,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,vatika gurgaon,sector 83,1.15,5808.0,3.0,3.0,2,3.0,Relatively New,1350.0,1.0,1.0,1.0,1.0,0.0,1.0,165.0
flat,tulip violet,sector 69,1.36,8619.0,3.0,3.0,2,12.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,1.0,49.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2.0,2.0,3,0.0,Relatively New,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
house,independent,sector 55,2.8,18667.0,4.0,4.0,0,2.0,Old Property,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,unitech espace,sector 50,10.45,32253.0,5.0,7.0,3+,3.0,Moderately Old,3240.0,1.0,1.0,0.0,1.0,1.0,1.0,153.0
flat,pivotal devaan,sector 84,0.34,7039.0,2.0,2.0,1,1.0,Relatively New,537.0,0.0,0.0,1.0,0.0,0.0,1.0,84.0
flat,pivotal devaan apartments,sector 84,0.39,6500.0,2.0,2.0,0,5.0,Relatively New,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 4,1.1,11111.0,3.0,4.0,1,2.0,Moderately Old,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,gls arawali homes,sohna road,0.35,6076.0,2.0,2.0,2,12.0,New Property,521.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
flat,tarc maceo,sector 91,1.75,11118.0,4.0,3.0,3+,8.0,Relatively New,2107.0,1.0,1.0,1.0,1.0,0.0,0.0,128.0
flat,vatika city,sector 49,2.1,10417.0,3.0,3.0,3,9.0,Moderately Old,1604.25,0.0,0.0,0.0,1.0,0.0,1.0,132.0
flat,central park resorts,sector 48,3.65,15240.0,3.0,3.0,3+,9.0,Relatively New,2395.0,0.0,0.0,0.0,0.0,1.0,1.0,157.0
flat,ashiana mulberry,sohna road,0.95,6485.0,2.0,2.0,3+,3.0,New Property,1175.97,1.0,0.0,0.0,0.0,0.0,0.0,89.0
flat,tulip violet,sector 69,1.29,8227.0,3.0,3.0,1,12.0,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,1.0,86.0
house,suncity avenue 76,sector 76,0.75,10067.0,2.0,2.0,2,11.0,New Property,745.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
flat,dlf the primus,sector 82a,1.85,10283.0,3.0,3.0,3+,2.0,Relatively New,1668.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0
flat,umang monsoon breeze,sector 78,0.7,5719.0,2.0,2.0,2,5.0,Moderately Old,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,rof ananda,sector 95,0.32,5829.0,2.0,2.0,1,9.0,Relatively New,610.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0
flat,the crew bos chs manesar,manesar,0.85,3696.0,3.0,3.0,2,2.0,Moderately Old,2556.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
flat,spaze privvy the address,sector 93,1.25,5700.0,4.0,4.0,3,16.0,Relatively New,2105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2.0,2.0,1,3.0,Relatively New,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
flat,chd avenue,sector 71,0.79,6594.0,2.0,2.0,2,8.0,Relatively New,1084.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
house,independent,sector 25,10.0,37037.0,5.0,5.0,3+,3.0,Moderately Old,9500.0,0.0,1.0,0.0,1.0,0.0,2.0,29.0
flat,park royal apartment,sector 56,1.71,7600.0,3.0,3.0,3+,5.0,Moderately Old,2251.0,0.0,1.0,0.0,0.0,0.0,1.0,118.0
flat,mahindra aura,sector 110,1.4,9655.0,3.0,3.0,3,10.0,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0
flat,ireo victory valley,sector 67,3.65,13529.0,3.0,4.0,3+,18.0,Relatively New,2490.0,0.0,1.0,0.0,1.0,0.0,1.0,61.0
flat,signature global solera,sector 107,0.6,8000.0,3.0,2.0,2,8.0,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
flat,tulip violet,sector 69,1.44,9125.0,3.0,3.0,2,1.0,Relatively New,1381.0,0.0,0.0,0.0,1.0,0.0,0.0,174.0
flat,m3m capital,sector 113,2.37,11499.0,4.0,4.0,3+,20.0,Under Construction,2060.0,1.0,0.0,0.0,0.0,0.0,0.0,143.0
flat,zara aavaas,sector 104,0.2,6645.0,1.0,2.0,2,3.0,New Property,334.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
flat,godrej nature plus,sector 33,1.5,10197.0,2.0,2.0,3+,2.0,Under Construction,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
flat,m3m capital,sector 113,1.83,13969.0,2.0,2.0,0,7.0,New Property,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
house,independent,sector 4,3.2,14222.0,3.0,3.0,2,2.0,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
flat,breez global heights 88a,sector 88a,0.5,8375.0,3.0,2.0,2,2.0,Under Construction,663.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
flat,south city 1 floors,sector 41,3.4,11724.0,4.0,4.0,3,0.0,Old Property,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4.0,4.0,3+,11.0,Relatively New,4630.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
flat,vatika city,sector 49,1.72,7818.0,3.0,3.0,2,2.0,Old Property,2444.0,0.0,0.0,0.0,0.0,0.0,1.0,144.0
flat,smart world orchard,sector 61,2.2,13497.0,3.0,3.0,2,1.0,Under Construction,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,vatika iris floors,sector 82,0.63,5590.0,2.0,2.0,3+,2.0,Relatively New,1026.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0
flat,corona optus,sector 37,1.4,7035.0,3.0,3.0,3+,4.0,Relatively New,1890.0,0.0,1.0,0.0,0.0,0.0,0.0,149.0
flat,unitech south park,sector 70,1.13,7001.0,3.0,3.0,2,1.0,Under Construction,1457.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
house,hero homes,sector 104,1.95,21196.0,3.0,5.0,3+,2.0,Moderately Old,920.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
flat,shree vardhman victoria,sector 70,1.75,8974.0,3.0,5.0,0,0.0,Relatively New,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
flat,indiabulls centrum park,sector 103,2.45,8522.0,4.0,4.0,3,11.0,Relatively New,2602.0,1.0,1.0,1.0,1.0,0.0,0.0,38.0
house,vatika signature villas,sector 82,4.7,21759.0,3.0,3.0,3+,3.0,New Property,2160.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
house,independent,sector 28,0.7,8102.0,2.0,2.0,0,2.0,Old Property,864.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
flat,m3m soulitude,sector 89,1.3,8701.0,3.0,3.0,2,1.0,New Property,1179.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0
house,international city by sobha phase 2,sector 109,6.5,12037.0,4.0,4.0,3+,1.0,New Property,5400.0,0.0,1.0,0.0,0.0,0.0,1.0,160.0
flat,signature global the millennia,sector 37d,0.55,9167.0,2.0,2.0,3,3.0,New Property,543.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
flat,signature global park,sohna road,0.9,8036.0,3.0,2.0,2,2.0,Under Construction,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0
flat,m3m woodshire,sector 107,1.15,7497.0,2.0,2.0,3,0.0,Relatively New,1281.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0
flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3.0,4.0,3,6.0,Relatively New,2150.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0
flat,dlf regal gardens,sector 90,1.78,8036.0,4.0,4.0,3+,8.0,Relatively New,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
flat,sanskriti apartments,sector 43,2.5,13514.0,3.0,2.0,3,5.0,Old Property,1674.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 38,3.9,21242.0,6.0,6.0,3+,3.0,Moderately Old,1836.0,1.0,1.0,0.0,1.0,0.0,0.0,32.0
house,independent,sector 3,0.55,6707.0,2.0,2.0,1,2.0,Moderately Old,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,bptp terra,sector 37d,1.67,7622.0,4.0,4.0,3,11.0,Relatively New,2091.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0
flat,shree vardhman flora,sector 90,0.65,6792.0,2.0,2.0,3,9.0,Relatively New,1050.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0
flat,m3m golfestate,sector 65,5.5,16960.0,3.0,4.0,3,3.0,Relatively New,2803.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
flat,dlf regal gardens,sector 90,2.05,8999.0,4.0,4.0,3+,5.0,Relatively New,2005.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
house,independent,sector 51,2.25,2778.0,6.0,3.0,3+,3.0,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
house,unitech uniworld resorts,sector 33,11.0,26667.0,5.0,6.0,3,3.0,New Property,4125.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2.0,2.0,3,0.0,Relatively New,1238.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
flat,mapsko mount ville,sector 79,1.65,9091.0,3.0,3.0,0,12.0,Relatively New,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,vatika gurgaon,sector 83,0.98,8167.0,2.0,2.0,3,5.0,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0
flat,essel towers,sector 14,2.2,12500.0,3.0,4.0,3+,3.0,Old Property,1956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,dlf the skycourt,sector 86,1.5,7776.0,3.0,3.0,1,15.0,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
house,satya the hermitage,sector 103,4.35,13501.0,4.0,4.0,3+,2.0,Relatively New,3222.0,1.0,1.0,1.0,1.0,0.0,1.0,138.0
flat,tulip violet,sector 69,1.3,8286.0,3.0,3.0,1,12.0,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0
flat,chd avenue,sector 71,1.1,6104.0,3.0,4.0,3,3.0,Moderately Old,1631.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0
flat,dlf the primus,sector 82a,1.59,10338.0,3.0,3.0,3+,5.0,Relatively New,1668.0,0.0,0.0,0.0,0.0,1.0,2.0,167.0
flat,godrej icon,sector 88a,1.65,9041.0,3.0,3.0,3,12.0,New Property,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
flat,dlf the ultima,sector 81,2.28,10842.0,3.0,3.0,3+,14.0,Relatively New,1750.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
flat,dlf new town heights,sector 90,1.6,6768.0,4.0,4.0,3+,10.0,Relatively New,2139.0,0.0,1.0,0.0,1.0,0.0,0.0,88.0
flat,dlf regal gardens,sector 90,1.21,6926.0,3.0,3.0,3+,29.0,Relatively New,1581.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0
flat,dlf regal gardens,sector 90,1.25,10417.0,3.0,3.0,3,18.0,Moderately Old,1437.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
flat,bestech park view residency,sector 2,0.98,6931.0,2.0,2.0,3,11.0,Moderately Old,1281.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
flat,experion the heartsong,sector 108,0.93,6078.0,2.0,3.0,3,10.0,Relatively New,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
flat,smart world orchard,sector 61,2.24,14461.0,3.0,3.0,2,3.0,New Property,1402.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0
flat,kiran residency,sector 56,1.55,7750.0,3.0,3.0,3,5.0,Old Property,1810.0,0.0,1.0,0.0,0.0,0.0,1.0,52.0
flat,supertech araville,sector 79,0.78,6023.0,2.0,2.0,3+,17.0,Relatively New,1172.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
flat,la vida by tata housing,sector 113,1.93,12223.0,3.0,3.0,2,8.0,Under Construction,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
flat,ats triumph,sector 104,2.6,8814.0,4.0,4.0,3+,16.0,Relatively New,3064.0,0.0,1.0,0.0,0.0,0.0,1.0,150.0
house,experion windchants,sector 112,7.46,10260.0,4.0,4.0,3+,2.0,Relatively New,6350.0,0.0,1.0,0.0,1.0,0.0,1.0,62.0
flat,ambience creacions,sector 22,4.8,19200.0,4.0,6.0,3+,10.0,New Property,2778.0,0.0,1.0,0.0,1.0,0.0,2.0,49.0
flat,experion the heartsong,sector 108,0.97,9238.0,2.0,2.0,3,10.0,Relatively New,1167.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2.0,2.0,2,12.0,Relatively New,828.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
flat,dlf garden city floors,sector 92,1.7,8586.0,3.0,4.0,2,1.0,Under Construction,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
house,independent,sector 26,6.75,27778.0,3.0,3.0,3,2.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
flat,dlf new town heights,sector 90,1.2,6218.0,3.0,3.0,3+,8.0,Moderately Old,2144.0,0.0,1.0,0.0,1.0,0.0,0.0,59.0
flat,shree vardhman victoria,sector 70,1.65,8462.0,3.0,5.0,3,6.0,Relatively New,1527.0,0.0,1.0,0.0,1.0,0.0,0.0,167.0
house,independent,sector 13,1.5,11538.0,2.0,7.0,3,4.0,Moderately Old,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,antriksh heights,sector 84,0.69,5111.0,2.0,2.0,3+,8.0,Relatively New,1222.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0
flat,ss,sector 85,1.2,7151.0,2.0,2.0,3,15.0,Relatively New,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,apartment,sector 92,0.75,4688.0,3.0,4.0,3,2.0,Moderately Old,1778.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0
