movie,lead
Kaalakaandi,Saif Ali Khan
Vodka Diaries,Kay Kay Menon
My Birthday Song,Nora Fatehi
Nirdosh,Ashmit Patel
Mukkabaaz,Viineet Kumar
Union Leader (film),Rahul Bhat
Love per Square Foot,Vicky Kaushal
Aiyaary,Sidharth Malhotra
Padmaavat,Deepika Padukone
Kuchh Bheege Alfaaz,Geetanjali Thapa
Jaane Kyun De Yaaron,Akshay Anand
Veerey Ki Wedding,Pulkit Samrat
Sonu Ke Titu Ki Sweety,Kartik Aaryan
Hate Story 4,Lee Byford
Dil Juunglee,Taapsee Pannu
3 Storeys,Aisha Ahmed
Raid (2018 film),Ajay Devgn
Hichki,Rani Mukerji
Missing (2018 film),Manoj Bajpayee
Baaghi 2,Tiger Shroff
October (2018 film),Varun Dhawan
Mercury (film),Prabhu Deva
Beyond the Clouds (2017 film),Ishaan Khattar
Nanu Ki Jaanu,Abhay Deol
Daas Dev,Yogesh Raj Mishra
Omerta (film),Rajkummar Rao
Raazi,Alia Bhatt
Hope Aur Hum,Naseeruddin Shah
High Jack (film),Sumeet Vyas
Khajoor Pe Atke,Vinay Pathak
Parmanu: The Story of Pokhran,John Abraham
Bioscopewala,Danny Denzongpa
Bhavesh Joshi Superhero,Harshvardhan Kapoor
Phamous,Jimmy Sheirgill
Race 3,Anil Kapoor
Dhadak,Ishaan Khattar
Sanju,Ranbir Kapoor
Saheb Biwi Aur Gangster 3,Sanjay Dutt
Nawabzaade,Dharmesh Yelande
Mulk (film),Taapsee Pannu
Brij Mohan Amar Rahe,Arjun Mathur
Karwaan,Irrfan Khan
Gold (2018 film),Akshay Kumar
Satyameva Jayate (2018 film),John Abraham
Happy Phirr Bhag Jayegi,Sonakshi Sinha
Genius (2018 Hindi film),Utkarsh Sharma
Yamla Pagla Deewana: Phir Se,Dharmendra
Stree (2018 film),Rajkummar Rao
Paltan (film),Jackie Shroff
Laila Majnu (2018 film),Avinash Tiwary
Gali Guleiyan,Manoj Bajpayee
Halkaa,Paoli Dam
Pataakha,Sanya Malhotra
Batti Gul Meter Chalu,Shahid Kapoor
Love Sonia,Abhishek Bharate
Manto (2018 film),Nawazuddin Siddiqui
Ishqeria,Manish Anand
Manmarziyaan,Taapsee Pannu
Mitron,Jackky Bhagnani
Sui Dhaaga,Anushka Sharma
Baazaar,Radhika Apte
Jalebi (film),Rhea Chakraborty
FryDay,Govinda
Tumbbad,Sohum Shah
Helicopter Eela,Kajol
Namaste England,Arjun Kapoor
Andhadhun,Ayushmann Khurrana
Badhaai Ho,Ayushmann Khurrana
5 Weddings,Nargis Fakhri
Kaashi in Search of Ganga,Aishwarya Devan
Dassehra,Neil Nitin Mukesh
The Journey of Karma,Shakti Kapoor
Jack and Dil,Amit Sadh
Mohalla Assi,Sunny Deol
Pihu,Rahul Bagga
Bhaiaji Superhit,Sunny Deol
Rajma Chawal,Amyra Dastur
Zero (2018 film),Shah Rukh Khan
Simmba,Ranveer Singh
Tiger Zinda Hai,Salman Khan
Golmaal Again,Ajay Devgn
Judwaa 2,Varun Dhawan
Ok Jaanu,Shraddha Kapoor
Coffee with D,Sunil Grover
Kaabil,Hrithik Roshan
Raees (film),Raj Arjun
Thugs of Hindostan,Aamir Khan
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,Gurmeet Ram Rahim Singh
Running Shaadi,Arsh Bajwa
The Ghazi Attack,Rana Daggubati
Irada (2017 film),Naseeruddin Shah
Rangoon (2017 Hindi film),Kangana Ranaut
Wedding Anniversary,Nana Patekar
Jeena Isi Ka Naam Hai (film),Arbaaz Khan
Badrinath Ki Dulhania,Varun Dhawan
Trapped (2016 Hindi film),Rajkummar Rao
Aa Gaya Hero,Govinda
Mantra (2016 film),Rajat Kapoor
Phillauri (film),Anushka Sharma
Machine (2017 film),Kiara Advani
Bhanwarey,Shaurya Singh
Anaarkali of Aarah,Pankaj Tripathi
Naam Shabana,Taapsee Pannu
Hotel Salvation,Adil Hussain
Begum Jaan,Amitabh Bachchan
Noor (film),Sunny Leone
Ek Thi Rani Aisi Bhi,Hema Malini
Maatr,Raveena Tandon
Sarkar 3,Amitabh Bachchan
Jattu Engineer,Amardeep Insan
Half Girlfriend (film),Shraddha Kapoor
Meri Pyaari Bindu,Ayushmann Khurrana
Sachin: A Billion Dreams,Sachin Tendulkar
Hindi Medium,Irrfan Khan
Sweetiee Weds NRI,Himansh Kohli
Dobaara: See Your Evil,Adil Hussain
Flat 211,Jayesh Raj
Dear Maya,Manisha Koirala
Raabta (film),Deepika Padukone
Behen Hogi Teri,Rajkummar Rao
Tubelight (2017 Hindi film),Salman Khan
Bank Chor,Riteish Deshmukh
Ek Haseena Thi Ek Deewana Tha,Shiv Darshan
Jagga Jasoos,Ranbir Kapoor
Shab (film),Ashish Bisht
Lipstick Under My Burkha,Aahana Kumra
Bachche Kachche Sachche,Manoj Babani
G Kutta Se,Rajveer Ankur Singh
Indu Sarkar,Kirti Kulhari
Jab Harry Met Sejal,Shah Rukh Khan
Munna Michael,Tiger Shroff
Toilet: Ek Prem Katha,Akshay Kumar
Mubarakan,Anil Kapoor
Guest iin London,Kartik Aaryan
Bareilly Ki Barfi,Ayushmann Khurrana
Babumoshai Bandookbaaz,Nawazuddin Siddiqui
Yadvi – The Dignified Princess,Prisha Aneja
Qaidi Band,Aadar Jain
Shubh Mangal Saavdhan,Ayushmann Khurrana
Raag Desh (film),Kunal Kapoor
Daddy (2017 film),Arjun Rampal
Simran (film),Kangana Ranaut
Lucknow Central,Farhan Akhtar
A Gentleman,Sidharth Malhotra
Viceroy's House (film),Hugh Bonneville
Patel Ki Punjabi Shaadi,Rishi Kapoor
Newton (film),Rajkummar Rao
The Final Exit,Kunaal Roy Kapur
Bhoomi (film),Sunny Leone
Haseena Parkar,Shraddha Kapoor
JD (film),Rina Charaniya
Haraamkhor,Nawazuddin Siddiqui
Poster Boys,Sunny Deol
Mom (film),Sridevi
Chef (2017 film),Saif Ali Khan
Ranchi Diaries,Soundarya Sharma
Babuji Ek Ticket Bambai,Sudha Chandran
Rukh (film),Manoj Bajpayee
Secret Superstar,Zaira Wasim
Aval (2017 film),Prakash Belawadi
Ribbon (film),Kalki Koechlin
Shaadi Mein Zaroor Aana,Rajkummar Rao
Jia Aur Jia,Richa Chadha
Qarib Qarib Singlle,Irrfan Khan
Aksar 2,Zareen Khan
Panchlait,Nayna Bandhopadhyay
Tumhari Sulu,Vidya Balan
Julie 2,Nishikant Kamat
Kadvi Hawa,Sanjay Mishra
Firangi,Kapil Sharma
Fukrey Returns,Pulkit Samrat
Monsoon Shootout,Vijay Varma
Ajji,Sushama Deshpande
Chalk n Duster,Richa Chadha
Rebellious Flower,Prince Shah
Saankal,Tanima Bhattacharya
Airlift (film),Akshay Kumar
Sallu Ki Shaadi,Zeenat Aman
Irudhi Suttru,Madhavan
Kyaa Kool Hain Hum 3,Tusshar Kapoor
Mastizaade,Tusshar Kapoor
Dil Jo Na Keh Saka,Himansh Kohli
Jugni (2016 film),Sadhana Singh
Ghayal: Once Again,Sunny Deol
Fitoor,Aditya Roy Kapoor
Sanam Re,Rishi Kapoor
Direct Ishq,Rajniesh Duggall
Ishq Forever,Krishna Chaturvedi
Loveshhuda,Girish Taurani
Neerja,Sonam Kapoor
Aligarh (film),Sukhesh Arora
Bollywood Diaries,Raima Sen
Love Shagun,Anuj Sachdeva
Tere Bin Laden: Dead or Alive,Parthaa Akerkar
Jai Gangaajal,Priyanka Chopra
Kapoor & Sons,Sidharth Malhotra
Rocky Handsome,John Abraham
Love Games (film),Patralekhaa Paul
Fan (film),Shah Rukh Khan
Nil Battey Sannata,Swara Bhaskar
Laal Rang,Randeep Hooda
Baaghi (2016 film),Shraddha Kapoor
Global Baba,Pankaj Tripathi
Shortcut Safari,Jimmy Sheirgill
The Blueberry Hunt,Kartik Elangovan
Santa Banta Pvt Ltd,Boman Irani
Traffic (2016 film),Manoj Bajpayee
1920: London,Sharman Joshi
Azhar (film),Emraan Hashmi
Buddha in a Traffic Jam,Aanchal Dwivedi
Murari the Mad Gentleman,Sanjay Singh
Dear Dad (film),Arvind Swamy
Phobia (2016 film),Radhika Apte
Sarbjit (film),Randeep Hooda
Veerappan (2016 film),Sachiin Joshi
Do Lafzon Ki Kahani (film),Kajal Aggarwal
Te3n,Amitabh Bachchan
Udta Punjab,Shahid Kapoor
Khel Toh Ab Shuru Hoga,Hazel Croney
Luv U Alia,V. Ravichandran
7 Hours to Go,Vipin Sharma
Raman Raghav 2.0,Nawazuddin Siddiqui
Junooniyat,Pulkit Samrat
Rough Book,Tannishtha Chatterjee
Dhanak,Krrish Chhabria
Fredrick (film),Avinash Dhyani
Dil Toh Deewana Hai,Zeenat Aman
Sultan (2016 film),Salman Khan
Brahman Naman,Shashank Arora
Great Grand Masti,Urvashi Rautela
Waiting (2015 film),Naseeruddin Shah
Ishq Click,Sara Loren
M Cream,Tom Alter
Madaari,Irrfan Khan
Dishoom,John Abraham
Fever (2016 film),Rajeev Khandelwal
Rustom (film),Ileana D'Cruz
Hai Apna Dil Toh Awara,Sahil Anand
Mohenjo Daro (film),Hrithik Roshan
Happy Bhag Jayegi,Diana Penty
Waarrior Savitri,Niharica Raizada
A Flying Jatt,Tiger Shroff
Baar Baar Dekho,Sidharth Malhotra
Freaky Ali,Nawazuddin Siddiqui
Raaz: Reboot,Emraan Hashmi
Pink (2016 film),Taapsee Pannu
Parched,Tannishtha Chatterjee
Banjo (2016 film),Riteish Deshmukh
Days of Tafree,Yash Soni
Wah Taj,Shreyas Talpade
Island City (2015 film),Vinay Pathak
Ek Kahani Julie Ki,Jimmy Sharma
M.S. Dhoni: The Untold Story,Sushant Singh Rajput
MSG: The Warrior Lion Heart,Ashok Insan
Devi (2016 film),RJ Balaji
Motu Patlu: King of Kings,Saurav Chakraborty
Anna (2016 film),Shashank Udapurkar
Fuddu,Shubham
Saat Uchakkey,Manoj Bajpayee
Beiimaan Love,Sunny Leone
Umrika,Aashish Bhatt
Shivaay,Ajay Devgn
Dongari Ka Raja,Ronit Roy
Ae Dil Hai Mushkil,Ranbir Kapoor
Tum Bin II,Neha Sharma
Rock On 2,Farhan Akhtar
Force 2,John Abraham
Dear Zindagi,Alia Bhatt
Befikre,Vaani Kapoor
Moh Maya Money,Neha Dhupia
Shorgul,Jimmy Sheirgill
Saansein,Sonarika Bhadoria
Ki & Ka,Amitabh Bachchan
Wajah Tum Ho,Sharman Joshi
Dangal (film),Aamir Khan
Mirzya (film),Harshvardhan Kapoor
Prem Ratan Dhan Payo,Salman Khan
Tanu Weds Manu: Returns,Kangana Ranaut
Tanu Weds Manu: Returns,Kangana Ranaut
31st October (film),Soha Ali Khan
ABCD 2,Prabhu Deva
Dilwale (2015 film),Shah Rukh Khan
Bajrangi Bhaijaan,Salman Khan
Bajirao Mastani,Ranveer Singh
Welcome Back (film),Anil Kapoor
Baby (2015 Hindi film),Akshay Kumar
Singh Is Bliing,Akshay Kumar
Gabbar Is Back,Akshay Kumar
Gabbar Is Back,Akshay Kumar
Mumbai Can Dance Saala,Shakti Kapoor
Alone (2015 Hindi film),Bipasha Basu
Tevar,Arjun Kapoor
Sharafat Gayi Tel Lene,Zayed Khan
Dolly Ki Doli,Malaika Arora
Hawaizaada,Naman Jain
Khamoshiyan,Gurmeet Choudhary
Rahasya,Kay Kay Menon
Jai Jawaan Jai Kisaan (film),Rati Agnihotri
Shamitabh,Amitabh Bachchan
Roy (film),Arjun Rampal
Badlapur (film),Varun Dhawan
Crazy Cukkad Family,Swanand Kirkire
Take It Easy (2015 film),Sulabha Arya
Qissa (film),Irrfan Khan
Ab Tak Chhappan 2,Nana Patekar
Dum Laga Ke Haisha,Ayushmann Khurrana
Dirty Politics (film),Anupam Kher
MSG: The Messenger,Gurmeet Ram Rahim Singh
Badmashiyaan,Sidhant Gupta
Coffee Bloom,Arjun Mathur
Hey Bro,Ganesh Acharya
NH10 (film),Anushka Sharma
Hunterrr,Gulshan Devaiah
Detective Byomkesh Bakshy!,Sushant Singh Rajput
Luckhnowi Ishq,Adhyayan Suman
Court (film),Vira Sathidar
Margarita with a Straw,Kalki Koechlin
Ek Paheli Leela,Sunny Leone
Barkhaa,Sara Loren
Mr. X (2015 film),Emraan Hashmi
NH-8 Road to Nidhivan,Auroshika Dey
Dilliwali Zaalim Girlfriend,Ira Dubey
Dharam Sankat Mein,Naseeruddin Shah
Kaagaz Ke Fools,Vinay Pathak
Kuch Kuch Locha Hai,Ram Kapoor
Piku,Deepika Padukone
Bombay Velvet,Ranbir Kapoor
I Love Desi,Shakti Anand
Dil Dhadakne Do,Anil Kapoor
Welcome 2 Karachi,Arshad Warsi
P Se PM Tak,Meenakshi Dixit
Mere Genie Uncle,Yash Acharya
Hamari Adhuri Kahani,Rajkummar Rao
Miss Tanakpur Haazir Ho,Rahul Bagga
Uvaa,Mohit Baghel
Ishq Ke Parindey,Rishi Verma
Ishqedarriyaan,Mimoh Chakraborty
Sabki Bajegi Band,Swara Bhaskar
Masaan,Richa Chadha
Guddu Rangeela,Arshad Warsi
Bezubaan Ishq,Mugdha Godse
Aisa Yeh Jahaan,Yashpal Sharma
Second Hand Husband,Dharmendra
I Love NY (2015 film),Sunny Deol
Main Hoon Part-Time Killer,Smitha Gondkar
Kaun Kitne Paani Mein,Kunal Kapoor
Drishyam (2015 film),Ajay Devgn
Bangistan,Jacqueline Fernandez
All Is Well (2015 film),Rishi Kapoor
Brothers (2015 film),Akshay Kumar
Gour Hari Dastaan,Vinay Pathak
Manjhi – The Mountain Man,Nawazuddin Siddiqui
Thoda Lutf Thoda Ishq,Bhavita Anand
Phantom (2015 film),Saif Ali Khan
Hero (2015 Hindi film),Suraj Pancholi
Sorry Daddy,Shamim Khan
Talvar (film),Irrfan Khan
Katti Batti,Suhaas Ahuja
Meeruthiya Gangsters,Jaideep Ahlawat
MSG-2 The Messenger,Charanpreet Insan
Calendar Girls (2015 film),Akanksha Puri
Bhaag Johnny,Kunal Khemu
Jazbaa,Aishwarya Rai Bachchan
Bumper Draw,Seema Azmi
Chinar Daastaan-E-Ishq,Parveen Kaur
Kis Kisko Pyaar Karoon,Kapil Sharma
Pyaar Ka Punchnama 2,Kartik Aaryan
Wedding Pullav,Diganth
Shaandaar,Shahid Kapoor
Titli (2014 film),Nawazuddin Siddiqui
Guddu Ki Gun,Kunal Khemu
The Silent Heroes,Mann Bagga
Ranbanka,Manish Paul
Sholay,Sanjeev Kumar
Dedh Ishqiya,Madhuri Dixit
Karle Pyaar Karle,Shiv Darshan
Om-Dar-B-Dar,Gopi Desai
Paranthe Wali Gali,Mohinder Gujral
Strings of Passion,Zeenat Aman
Gunday,Ranveer Singh
Jai Ho (film),Salman Khan
Hasee Toh Phasee,Sidharth Malhotra
Heartless (2014 film),Adhyayan Suman
Ya Rab,Indrapal Ahuja
Darr @ the Mall,Jimmy Sheirgill
One by Two (2014 film),Abhay Deol
Babloo Happy Hai,Sahil Anand
Highway (2014 Hindi film),Alia Bhatt
Gulabi Gang (film),Sampat Pal Devi
Shaadi Ke Side Effects,Farhan Akhtar
Gulaab Gang,Madhuri Dixit
Queen (2014 film),Kangana Ranaut
Bewakoofiyaan,Ayushmann Khurrana
Total Siyapaa,Ali Zafar
Karar: The Deal,Mahek Chahal
Lakshmi (2014 film),Monali Thakur
Ragini MMS 2,Sunny Leone
Dishkiyaoon,Harman Baweja
Ankhon Dekhi,Sanjay Mishra
Gang of Ghosts,Sharman Joshi
Anuradha (2014 film),Sachin Khedekar
W (2014 film),Leeza Mangaldas
O Teri,Pulkit Samrat
Honour Killing (film),Zara Sheikh
2 States (2014 film),Arjun Kapoor
Jal (film),Purab Kohli
Bhoothnath Returns,Amitabh Bachchan
Main Tera Hero,Varun Dhawan
Lucky Kabootar,Arvinder Bhatti
Station (2014 film),Kanika Batra
Youngistaan,Jackky Bhagnani
Samrat & Co.,Rajeev Khandelwal
Purani Jeans,Tanuj Virwani
Kya Dilli Kya Lahore,Vijay Raaz
Koyelaanchal,Kannan Arunachalam
Manjunath (film),Anjori Alagh
Dekh Tamasha Dekh,Satish Kaushik
Mastram,Rahul Bagga
The Xposé,Himesh Reshammiya
Children of War (2014 film),Farooq Shaikh
Hawaa Hawaai,Makrand Deshpande
Kahin Hai Mera Pyar,Eesha Agarwal
Kuku Mathur Ki Jhand Ho Gayi,Siddharth Gupta
Heropanti,Tiger Shroff
CityLights (2014 film),Rajkummar Rao
Filmistaan,Sharib Hashmi
Revolver Rani,Kangana Ranaut
Kaanchi: The Unbreakable,Kartik Aaryan
Machhli Jal Ki Rani Hai,Swara Bhaskar
Khwaabb,Simer Motiani
Yeh Hai Bakrapur,Anshuman Jha
Ek Villain,Sidharth Malhotra
Bobby Jasoos,Vidya Balan
Humshakals,Saif Ali Khan
Humpty Sharma Ki Dulhania,Varun Dhawan
Hate Story 2,Jay Bhanushali
Lekar Hum Deewana Dil,Armaan Jain
Riyasat (film),Rajesh Khanna
Amit Sahni Ki List,Vir Das
Holiday: A Soldier Is Never Off Duty,Akshay Kumar
Fugly (film),Jimmy Sheirgill
Bazaar E Husn,Reshmi Ghosh
Pizza (2014 film),Akshay Oberoi
Entertainment (2014 film),Akshay Kumar
Singham Returns,Anupam Kher
Mardaani,Rani Mukerji
Raja Natwarlal,Emraan Hashmi
Mary Kom (film),Priyanka Chopra
Creature 3D,Bipasha Basu
Finding Fanny,Deepika Padukone
Khoobsurat (2014 film),Sonam Kapoor
3 A.M. (2014 film),Salil Acharya
Kick (2014 film),Salman Khan
Mad About Dance,Saahil Prem
Mumbhai Connection,Alieesa P Badresia
Life Is Beautiful (2014 film),Manoj Amarnani
Desi Kattey,Sasha Aagha
Haider (film),Tabu
Bang Bang!,Hrithik Roshan
Spark (2014 film),Rati Agnihotri
Daawat-e-Ishq,Aditya Roy Kapoor
Balwinder Singh Famous Ho Gaya,Asrani
Jigariyaa,Harshvardhan Deo
Tamanchey,Nikhil Dwivedi
Mumbai 125 KM,Karanvir Bohra
Meinu Ek Ladki Chaahiye,Puru Chibber
Chaarfutiya Chhokare,Soha Ali Khan
Sonali Cable,Rhea Chakraborty
Happy New Year (2014 film),Shah Rukh Khan
Super Nani,Rekha
Ekkees Toppon Ki Salaami,Anupam Kher
Rang Rasiya,Randeep Hooda
The Shaukeens,Akshay Kumar
Roar: Tigers of the Sundarbans,Aadil Chahal
A Decent Arrangement,Shabana Azmi
Gollu Aur Pappu,Dimple Kapadia
Titoo MBA,Nishant Dahiya
Kill Dil,Ranveer Singh
Ungli,Emraan Hashmi
Happy Ending (film),Saif Ali Khan
Zed Plus,Vinod Acharya
Zid (2014 film),Mannara Chopra
Action Jackson (2014 film),Prabhas
Bhopal: A Prayer for Rain,Mischa Barton
Mumbai Delhi Mumbai,Shiv Panditt
Badlapur Boys,Annu Kapoor
Main Aur Mr. Riight,Barun Sobti
Ugly (film),Rahul Bhat
PK (film),Aamir Khan
Dehraadun Diary,Adhyayan Suman
Matru Ki Bijlee Ka Mandola,Imran Khan
Sulemani Keeda,Naveen Kasturia
Inkaar (2013 film),Arjun Rampal
Gangoobai,Sarita Joshi
Akaash Vani,Kartik Aaryan
Main Krishna Hoon,Juhi Chawla
Race 2,Saif Ali Khan
Bandook,Manisha Kelkar
Listen... Amaya,Farooq Shaikh
Special 26,Akshay Kumar
Murder 3,Randeep Hooda
Zila Ghaziabad,Vivek Oberoi
Kai Po Che!,Rajkummar Rao
Bloody Isshq,Akash
Saare Jahaan Se Mehnga,Vishwa Mohan Badola
3G (film),Neil Nitin Mukesh
Mere Dad Ki Maruti,Saqib Saleem
Jolly LLB,Arshad Warsi
Saheb Biwi Aur Gangster Returns,Jimmy Sheirgill
Mai (2013 film),Asha Bhosle
Vishwaroopam,Kamal Haasan
Rangrezz,Jackky Bhagnani
Aashiqui 2,Aditya Roy Kapoor
Ek Thi Daayan,Emraan Hashmi
Himmatwala (2013 film),Ajay Devgn
Nautanki Saala!,Ayushmann Khurrana
Jayantabhai Ki Luv Story,Vivek Oberoi
Commando: A One Man Army,Vidyut Jammwal
Bombay Talkies (film),Rani Mukerji
Go Goa Gone,Saif Ali Khan
Gippi,Riya Vij
Aurangzeb (film),Arjun Kapoor
Ishkq in Paris,Preity Zinta
Zindagi 50-50,Veena Malik
Yeh Jawaani Hai Deewani,Ranbir Kapoor
Fukrey,Pulkit Samrat
Chhota Bheem and the Throne of Bali,Rupa Bhimani
Raanjhanaa,Dhanush
Ankur Arora Murder Case,Kay Kay Menon
Shortcut Romeo,Neil Nitin Mukesh
Ghanchakkar (film),Vidya Balan
Hum Hai Raahi Car Ke,Anupam Kher
Policegiri,Sanjay Dutt
Bhaag Milkha Bhaag,Farhan Akhtar
Sixteen (2013 Indian film),Wamiqa Gabbi
B.A. Pass,Shadab Kamal
Enemmy,Sunil Shetty
Issaq,Prateik
Bajatey Raho,Tusshar Kapoor
Luv U Soniyo,Tanuj Virwani
Nasha (film),Poonam Pandey
Chor Chor Super Chor,Deepak Dobriyal
Calapor (film),Hemant Gopal
Love in Bombay,Joy Mukherjee
D-Day (2013 film),Rishi Kapoor
Siddharth (2013 film),Rajesh Tailang
Once Upon ay Time in Mumbai Dobaara!,Akshay Kumar
Madras Cafe,John Abraham
Satyagraha (film),Amitabh Bachchan
Shuddh Desi Romance,Sushant Singh Rajput
Ramaiya Vastavaiya,Shruti Haasan
Chennai Express,Deepika Padukone
Grand Masti,Vivek Oberoi
John Day (film),Naseeruddin Shah
Horror Story (film),Karan Kundrra
Phata Poster Nikhla Hero,Shahid Kapoor
Ship of Theseus (film),Aida Elkashef
The Lunchbox,Irrfan Khan
Baat Bann Gayi,Anisa Butt
Boss (2013 Hindi film),Akshay Kumar
Shahid (film),Rajkummar Rao
Mickey Virus,Manish Paul
Satya 2,Puneet Singh Ratn
Rajjo,Kangana Ranaut
Maazii,Sumit Nijhawan
Sooper Se Ooper,Tinnu Anand
Prague (2013 film),Chandan Roy Sanyal
Wake Up India,Elisha Kriis
Super Model (film),Ashmit Patel
Gori Tere Pyaar Mein,Imran Khan
What the Fish,Manu Rishi Chadha
Jackpot (2013 film),Naseeruddin Shah
Table No. 21,Paresh Rawal
Bullett Raja,Saif Ali Khan
Dhoom 3,Aamir Khan
Chashme Baddoor (2013 film),Ali Zafar
Lootera,Ranveer Singh
War Chhod Na Yaar,Sharman Joshi
Chaalis Chauraasi,Naseeruddin Shah
Ghost (2012 film),Shiney Ahuja
Sadda Adda,Karan Sharma
Singh Saab the Great,Sunny Deol
Goliyon Ki Raasleela Ram-Leela,Ranveer Singh
Agneepath (2012 film),Hrithik Roshan
Ek Main Aur Ekk Tu,Kareena Kapoor
Ekk Deewana Tha,Prateik
?: A Question Mark,Kiran Bhatia
Jodi Breakers,Bipasha Basu
Tere Naal Love Ho Gaya,Riteish Deshmukh
Staying Alive (2012 film),Jahangir Khan
Paan Singh Tomar (film),Irrfan Khan
Kahaani,Vidya Balan
Zindagi Tere Naam,Mithun Chakraborty
Agent Vinod (2012 film),Kareena Kapoor
Blood Money (2012 film),Manish Chaudhary
Bumboo,Kavin Dave
Valentine's Night,Shikhi Gupta
Married 2 America,Archana Joglekar
Chaar Din Ki Chandni,Tusshar Kapoor
Bittoo Boss,Pulkit Samrat
Vicky Donor,Ayushmann Khurrana
Hate Story,Nikhil Dwivedi
Tezz,Anil Kapoor
Dangerous Ishhq,Karisma Kapoor
Ishaqzaade,Arjun Kapoor
Department (film),Sanjay Dutt
Fatso!,Gul Panag
Arjun: The Warrior Prince,Yudhveer Bakoliya
Life Ki Toh Lag Gayi,Kay Kay Menon
Shanghai (2012 film),Emraan Hashmi
Ferrari Ki Sawaari,Sharman Joshi
Teri Meri Kahaani (film),Shahid Kapoor
Mr. Bhatti on Chutti,Anupam Kher
Yeh Khula Aasmaan,Anya Anand
Rakhtbeej,Julia Datt
Gangs of Wasseypur,Manoj Bajpayee
Gangs of Wasseypur – Part 2,Manoj Bajpayee
Cocktail (2012 film),Saif Ali Khan
Gattu,Naresh Sharma
Kyaa Super Kool Hain Hum,Riteish Deshmukh
Maximum (film),Sonu Sood
Paanch Ghantey Mien Paanch Crore,Nassar Abdulla
Ek Tha Tiger,Salman Khan
Challo Driver,Vickrant Mahajan
Shirin Farhad Ki Toh Nikal Padi,Freny Bhagat
Joker (2012 film),Akshay Kumar
Aalaap (film),Omkar Das Manikpuri
Mere Dost Picture Abhi Baki Hai,Sunil Shetty
Krishna Aur Kans,Manoj Bajpayee
From Sydney with Love,Bidita Bag
Jalpari: The Desert Mermaid,Harish Chabbra
Barfi!,Ranbir Kapoor
