Unnamed: 0,property_type,sector,society,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
11.0,flat,sohna road,hcbs sports ville,0.29,519.0,5587.0,Carpet area: 519 (48.22 sq.m.),2,2,1,not available,4.0,,1 to 5 Year Old,"['The roadside cafe', 'GD Goenka Mess', 'ROyal Kitchen', 'Mithaas Wala', 'Momomia Gurgoan']",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
12.0,flat,sector 79,supertech araville,1.35,1945.0,6940.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,not available,4.0,,1 to 5 Year Old,"['Petrol Pump Indian Oil', 'Petrol Pump', 'Rao Dhaba', ""McDonald's""]","['1 Water Purifier', '2 Fan', '1 Geyser', '3 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",
13.0,flat,sector 33,godrej,0.95,1385.0,6859.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,not available,3.0,South-East,Under Construction,,,
14.0,flat,sector 90,shree vardhman flora,0.7,1300.0,5384.0,Super Built up area 1300(120.77 sq.m.),2,2,3,study room,13.0,,0 to 1 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']",,"['Intercom Facility', 'Lift(s)', 'Park']"
15.0,flat,sector 108,sobha city,3.95,2343.0,16859.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,not available,25.0,,undefined,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
16.0,flat,sector 62,senate court,0.9,639.0,14084.0,Built Up area: 639 (59.37 sq.m.),1,1,0,not available,0.0,,undefined,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'State bank ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Kriti Hospital', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Surgicare Hospital Gurgaon', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Vishesh Dental', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', '222', 'Madison and Pike', 'Pizza Hut', 'India', 'Haldiram', 'Kamla International', 'Gurugram University', 'Amity Global School']",,
17.0,flat,sector 102,shapoorji pallonji joyville gurugram,1.05,915.0,11475.0,Carpet area: 915 (85.01 sq.m.),2,2,2,not available,0.0,,2024-03-01 00:00:00,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']",[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
18.0,flat,sector 93,signature global orchard avenue 2,,,,Carpet area: 577.11 (53.62 sq.m.),2,2,3,not available,11.0,East,Under Construction,"['Huda Metro Station', 'V3S Sapphire Ninety', 'IMT Road', 'Pataudi Road', 'Dwarka Expy', 'RPS International School', 'Euro International School', 'SGT University', 'Arc Multi Speciality hospital', 'Indira Gandhi Intl Airport', 'Farrukh Nagar Railway Station']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
19.0,flat,sector 33,central park flower valley,2.2,2100.0,10476.0,Super Built up area 2100(195.1 sq.m.),3,3,3,servant room,12.0,North-East,0 to 1 Year Old,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
20.0,flat,sector 89,smart world gems,1.01,1103.0,9156.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,study room,4.0,,2025-12-01 00:00:00,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']"
21.0,flat,sector 79,bestech altura,1.85,2150.0,8604.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,servant room,11.0,North,0 to 1 Year Old,"['Sapphire 83 Mall', 'NH -8', 'Golf Course Extension Road', 'Mount Olympus Junior School', 'Amity University Gurugram', 'Miracles Apollo Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Savoy Suites, Manesar', 'Golden Greens Golf & Resorts']","['5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
22.0,flat,sector 89,smart world gems,0.86,1103.0,7796.0,Super Built up area 1103(102.47 sq.m.),2,3,3,not available,4.0,,By 2023,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",[],
23.0,flat,sector 102,emaar imperial gardens,1.85,2025.0,9135.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,servant room,0.0,South-West,1 to 5 Year Old,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Country Inn & Suites by Radisson', 'Nehru Stadium']","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '20 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
24.0,flat,sector 113,la vida by tata housing,2.85,2217.0,12855.0,Super Built up area 2217(205.97 sq.m.),3,3,3+,servant room,10.0,East,0 to 1 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
26.0,flat,sector 36,the serenas,0.42,531.0,7910.0,Carpet area: 531 (49.33 sq.m.),2,2,1,not available,3.0,,undefined,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",
27.0,flat,sector 65,m3m golfestate,6.15,3355.0,18331.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,not available,20.0,North-East,undefined,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']",,
28.0,flat,sector 48,central park resort belgravia residences,6.25,2572.0,24300.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,servant room,5.0,South-East,5 to 10 Year Old,"['Decathlon Sohna Road', 'Raheja Mall', 'Elements One Mall', 'GD Goenka Public School', 'Mount Olympus School', 'Basant Valley Global School', 'Lotus Valley School', 'Park Hospital (Gurugram, Haryana)', 'CK Birla Hospital', 'CDAS Super Speciality Hospital', 'Orchid Business Park', 'Candor TechSpace', 'JMD Megapolis', 'Splendor Trade Tower', 'DoubleTree by Hilton']","['6 Fan', '1 Exhaust Fan', '4 Geyser', '55 Light', '1 Chimney', '1 Modular Kitchen', '10 Wardrobe', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
29.0,flat,sector 37c,apex builders,0.42,750.0,5600.0,Carpet area: 750 (69.68 sq.m.),2,2,2,not available,4.0,North,1 to 5 Year Old,"['Kamla Hospital Gurgaon', 'Shri Multispeciality Hospital', 'Shri Balaji Hospital and Trauma Center', 'Yadav Hospital Gurgoan', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Harshila Dental Clinic', 'Dental Xpert Dental Clinic', 'Gautam Hospital', 'Clove Dental', 'Esic Hospital Gurugram', 'Sai Dental Clinic', 'Sunrise Hospital Gurgaon', 'Bhanu Dental Care', 'Nutan Dental Hospital', 'Ankur Clinic and Maternity Home', 'Shri Ram Dental Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Navjeevan Hospital and Maternity Centre', 'Parmar Dental Clinic & Lab', 'Ayushman Hospital And Trauma Centre', 'Shiv Mahima Patient Care Bureau', 'Rachna Dental Clinic', 'Vaishnavi Nursing Home', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Shree Krishna Hospital Gurgaon', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Boxer Fuel Point', 'Basai dhankot railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
30.0,flat,sector 3,godrej habitat,1.35,1056.0,12784.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,not available,4.0,North-East,undefined,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Sneh Hospital Gurgaon', 'Jiya Clinic', 'Dr. Mittal Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Dr. Sindhu Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'R K Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Chirag Hospital Pvt. Ltd', 'Kr Dental Hub', 'Gurgaon Eye Centre', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'GH Gurgaon', 'Aryan Hospital', 'Dr. Agya Ram Sharma Clinic', 'Sparsh Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Pearl Dental Clinic', 'Bhatnagar Maternity and Nursing Home', 'Geeta Nursing Home Gurgaon', 'Ravi Clinic and Health Care Centre', 'Taneja Hospital', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Jackson Hospital', 'Esic Hospital Gurugram', 'Dr. Tomar Clinic', 'Children Hospital', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Lieutenant Atul Kataria School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
31.0,flat,new sector 2,ompee k s residency,1.6,594.0,26936.0,Carpet area: 66 (55.18 sq.m.),2,2,2,not available,1.0,,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', 'DGD Bamnoli', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Axis bank', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Palam vihar railway station']",,
32.0,flat,sector 43,bhawna cghs,3.25,3200.0,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,pooja room,12.0,,5 to 10 Year Old,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Gupta', 'Marwah Clinic', 'The Dental Lounge', 'Sitaram Bhartia', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Max Hospital', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Hdfc bank & atm', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Clock tower', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'PWO house', 'Naveidyam', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Drunken Monkey', 'Stones2milestones', 'Ncr library', 'Bahrisons library']","['7 Fan', '11 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']"
33.0,flat,sector 88a,adani aangan arcade,0.45,626.0,7194.0,Carpet area: 625.47 (58.11 sq.m.),2,2,1,not available,8.0,,0 to 1 Year Old,"['Reliance Trends Newtown Square Mall', 'Pataudi Rd, Harsaru', 'Euro Intl School, Sector 37D, Gurugram', 'SGT University', 'Genesis Hospital', 'Indira Gandhi Intl Airport']","['1 Modular Kitchen', '2 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Park']"
